//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_english
{
	*MENU_CONTENTLOADFAILED		"Unable to load '§p0'."
	*STORY_L_M4			"THE DESERTED TEMPLE||Find Merchant Marcus' treasure. |Marcus must survive.|"
	*AWARD_GOLD_L_M4		"For finding Marcus' treasure, you received a handsome reward."

	*CHALLENGE_L_M5			"5 Divided City"
	*BRIEFING_L_M5			"Mu-Azzam.||Once a proud, flourishing city, it's now a mere shadow of its former glory. When the rift divided the world, the city was ripped asunder. Soon, it was deserted and fell into oblivion, now in the hands of the Dreg'atar"
	*STORY_L_M5			"The Divided City |Cross the Rift. |Find the city gate on the other side. "
	*AWARD_GOLD_L_M5		"For crossing the Divided City, you found some loot."

	*CHALLENGE_L_M6			"6 Outland Wastes"
	*BRIEFING_L_M6			"Fire and Brimstone   |Steam, fire and ashes rise into the sky as you reach the other side of the Rift. The Dreg'atar have forces  everywhere, and it seems impossible to get through unnoticed. Rumours also speak about a massive beast, a guardian."
	*STORY_L_M6			"The Outland Wastes||You must find a way across the heavily guarded Dreg'atar battlements and reach the Outland wastes on the other side."
	*AWARD_GOLD_L_M6		"When crossing the Outland Wastes, you found some loot."

	*CHALLENGE_L_M7			"7 Ark Amar"
	*BRIEFING_L_M7			"The harbour.||The city of Ark Amar is the last frontier towards Meckelon, the land of the Ancestors.||Finding someone to take you across seems near impossible, until you stumble upon Captain Lorus, Marcus' loathed brother."
	*STORY_L_M7			"Ark Amar.||Find Captain Lorus' logbook||Return the log book to Lorus.|"
	*AWARD_GOLD_L_M7		"For helping Lorus find his logbook, you received a handsome reward."

	*CHALLENGE_L_M8			"8 The Ancestors"
	*BRIEFING_L_M8			"Meckelon City||The journey across the ocean was long and tiresome. It seemed to go on forever. Now, standing on the shores, Meckelon City towers before you.But it seems to be very quiet, almost as if you were expected."
	*STORY_L_M8			"The Ancestors |You must fight in the Arena before Alecto will give you an audience. |Fight the Outland invaders.||Fuel and enter the airship."
	*AWARD_GOLD_L_M8		"For fighting off the Dreg'atar, you received a handsome reward."

	*CHALLENGE_L_M9			"9 The Sanctuary"
	*BRIEFING_L_M9			"The Northern Lakes||The structure jutting from the lake's calm surface is like nothing ever seen before. Strange, rusty and ancient framework, long forgotten from an era beyond even the creation of the Rift."
	*STORY_L_M9			"The Sanctuary    |You must find a way to enter the ancient structure down in the lake. |Find High Wizard Zale||Zale must survive."
	*AWARD_GOLD_L_M9		"For rescuing Zale, you received a handsome reward."

	*CHALLENGE_L_M10		"10 The Underworld"
	*BRIEFING_L_M10			"Venturing below   |The rumble of molten rocks and the heat of Earth's fire surrounds you, growing more intense with each step you take down. Strange structures and machines support the rocks."
	*STORY_L_M10			"The Underworld  |You must venture down into the Underworld and find the location of the Staff of the Earth Spirit."
	*AWARD_GOLD_L_M10		"Among the dried skeleton bones, you found some loot."

	*CHALLENGE_L_M11		"11 Zurana"
	*BRIEFING_L_M11			"Zurana's Pit.||As you enter a yet deeper tunnel, the earth itself shakes and trembles. Even the Underworld spawn are silent and absent. Is this where Zale claimed that the Staff of the Earth Spirit would be?"
	*STORY_L_M11			"Zurana.||You must claim the Staff of the Earth Spirit and defeat Zurana."
	*AWARD_GOLD_L_M11		"On Demon Zurana's corpse, you found some loot."

	*CHALLENGE_L_M12		"12 Kam-Zara"
	*BRIEFING_L_M12			"The fortress.||Now the Staff of the Earth Spirit is in Zale's possession. The time has come, to strike the final blow upon the Dreg'atar held fortress, allowing the Ancestors free passage to the Outlands and aid Celenheim. "
	*STORY_L_M12			"Kam-Zara.||You must help High Wizard Zale unlock the magic barrier that protects Kam-Zara's inner sanctum.||Find the three portal keys."
	*AWARD_GOLD_L_M12		"For helping Zale destroy Kam-Zara, you received a handsome reward."

	*CHALLENGE_L_M13		"13 Jasindra"
	*BRIEFING_L_M13			"The Ark Moor Citadel.  |Ark Moor is the high seat of Mordessa, the sinister leader of the Outlanders. Princess Jasindra, Celenheim's only heir, has been captured for a ritual to summon the great Demon King Vatar"
	*STORY_L_M13			"Jasindra. ||You must enter the Ark Moor Citadel, and prevent High Councellor Mordessa from sacrificing Princess Jasindra. |Mordessa must be defeated."
	*AWARD_GOLD_L_M13		"On Mordessa's corpse, you found some loot."

	*CHALLENGE_L_M14		"14 Vatar"
	*BRIEFING_L_M14			"Heart of Darkness    |As Mordessa was killed, Vatar was freed from her bond. If the demon king is not defeated, he will be unstoppable!"
	*STORY_L_M14			"Vatar.||Vatar must be defeated."
	*AWARD_GOLD_L_M14		"For defeating Vatar, you received a handsome reward."

	*CHALLENGE_D_M1			"1 Zurana's Crystal"
	*BRIEFING_D_M1			"Zurana's mansion   |Zurana was once an ambitious sorceress, who turned into one of the demons she tried to control. Her old mansion is now deserted, but a sorceress rarely leaves something of value unprotected."
	*STORY_D_M1			"Zurana's Crystal  |Enter the deserted mansion and find the Crystal of Evresi. |Return to the courtyard and Mordessa's portal."
	*AWARD_GOLD_D_M1		"For stealing the crystal, Mordessa has rewarded you handsomely."

	*CHALLENGE_D_M2			"2 Kill Marcus"
	*BRIEFING_D_M2			"Celadia Village  |Merchant Marcus is important for Celenheim's economy. His death would cause Celenheim's queen Aylindel and her Assembly of Six both confusion and grief. You are sent here to ensure this is taken care of."
	*STORY_D_M2			"Kill Marcus ||You must find Merchant Marcus and assassinate him. |Marcus must not survive.||Return to Mordessa through the portal."
	*AWARD_GOLD_D_M2		"For killing Marcus, Mordessa has rewarded you handsomely."
	
// PC PORT: Translate: (New keys)
	*CHALLENGE_D_M2_DEMO		"2 Kill Marcus"
	*BRIEFING_D_M2_DEMO		"Celadia Village  |Merchant Marcus is important for Celenheim's economy. His death would cause Celenheim's queen Aylindel and her Assembly of Six both confusion and grief. You are sent here to ensure this is taken care of."
	*STORY_D_M2_DEMO		"Kill Marcus ||You must find Merchant Marcus and assassinate him. |Marcus must not survive.||Return to Mordessa through the portal."
	*AWARD_GOLD_D_M2_DEMO		"For killing Marcus, Mordessa has rewarded you handsomely."
// PC PORT: Translate: (New keys)

	*CHALLENGE_D_M3			"3 Surprise Attack"
	*BRIEFING_D_M3			"Ark Moor ||The Ancestors, a people from the opposite side of the Celenheim Enclave, have boldly launched a surprise attack upon the heart of the Dreg'atar. Ark Moor. You are sent there immedately to assist in the defense of the citadel."
	*STORY_D_M3			"Surprise attack. |Defend Ark Moor against the surprise attack.||Defeat Alecto."
	*AWARD_GOLD_D_M3		"For saving Ark Moor, Mordessa has rewarded you handsomely."

	*CHALLENGE_D_M4			"4 Mansion of Dreams"
	*BRIEFING_D_M4			"The old mansion ||Not even today, anyone truly knows who built this place. Old journals mention that High Wizard Zale hid the Tome of Souls here, to prevent it from ever being used again after it consumed Zurana."
	*STORY_D_M4			"Mansion of Dreams  |Enter the Mansion of Dreams and find the Tome of Souls.||Get past the traps."
	*AWARD_GOLD_D_M4		"In a small trapdoor, you found some gold."

	*CHALLENGE_D_M5			"5 The Guardian"
	*BRIEFING_D_M5			"A twisted reality     |The Tome of Souls dancing in the air was but an illusion! Time and space seemed insignificant, everything was a daze, until you suddenly appear out of thin air in the most strange of places..."
	*STORY_D_M5			"The Guardian ||You must defeat the Guardian."
	*AWARD_GOLD_D_M5		"You find gold in the dragon's treasure!."

	*CHALLENGE_D_M6			"6 The Escape"
	*BRIEFING_D_M6			"Revisited ||After defeating the massive beast, the Tome of Souls is finally in your hands. But if Zale hid it here, if he sent someone to protect it, would he not notice if it was stolen?"
	*STORY_D_M6			"The Escape ||Zale must be defeated. |Find a way back out of the Mansion. |Return to Mordessa by using the portal outside the mansion."
	*AWARD_GOLD_D_M6		"In a trapdoor, you find some gold!"

	*CHALLENGE_D_M7			"7 The Plateau"
	*BRIEFING_D_M7			"Aylewoods ||Mordessa's portal took you right into the heart of the Celenheim Enclave. Somewhere beyond, Princess Jasindra is likely to be."
	*STORY_D_M7			"The Plateau ||You must fight yourself through the Celenheim defenders and reach the portal."
	*AWARD_GOLD_D_M7		"Near a portal, you found some gold!"

	*CHALLENGE_D_M8			"8 Capture Jasindra"
	*BRIEFING_D_M8			"The cabin ||Failing to find the princess near the portal you came from, you have been forced to venture further into the territory of the Enclave. And now, they have been warned of your presence."
	*STORY_D_M8			"Capture Jasindra    |You must find and capture Princess Jasindra.||Return to Mordessa by the summoned portal."
	*AWARD_GOLD_D_M8		"Jasindra carried a lot of gold. It now belongs to you."

	*CHALLENGE_D_M9			"9 Outpost Siege"
	*BRIEFING_D_M9			"Iellon Outpost ||A glorious day for battle! The first of many Enclave defenses is to meet its doom. Iellon Outpost is located close to a narrow portion of the Rift, squeezed in between the cliffs."
	*STORY_D_M9			"Outpost Siege ||You must breach the gates of the outpost and raise the Dreg'atar flag up in the tower. |Return to Mordessa by using the portal."
	*AWARD_GOLD_D_M9		"You have obtained gold from the plundered fortress!"

	*CHALLENGE_D_M10		"10 The Great Wall"
	*BRIEFING_D_M10			"The Fortress ||The Divided City has always been a place where the Rift can be Crossed. Celenheim built a long, massive wall that spans the entire area behind their side of the city. It's built to withstand very powerful attacks."
	*STORY_D_M10			"The Great Wall ||You must find a way inside the fortress. |Defeat Commander Ehrick.||Return to Mordessa by using the portal."
	*AWARD_GOLD_D_M10		"You have obtained gold from the plundered fortress!"

	*CHALLENGE_D_M11		"11 Ungard Mines"
	*BRIEFING_D_M11			"The old mines   |Travelling deep below into the deserted mines, your are hoping to find the bridge before the Celenheim soldiers do. The Enclave infidels may even be planning a counter attack."
	*STORY_D_M11			"Ungard Mines ||Find the three bomb components.||Blow up the bridge to stop the Celenheim counter attack.||Find a portal."
	*AWARD_GOLD_D_M11		"Among piles of ore, you find some gold!"

	**CHALLENGE_D_M12		"12 Mordessa"
	*BRIEFING_D_M12			"Ur-Annon Island ||A well protected hideout in the Ocean of Sorrow, this is where Mordessa is likely to be found if she is not in the Ark Moor citadel.|Will she be here, and will she be aware of your planned treachery?"
	*STORY_D_M12			"Mordessa ||Mordessa must be defeated.||Return to His Excultant Eminence Vatar by using the portal."
	*AWARD_GOLD_D_M12		"From Mordessa's remains, you find a healthy amount of gold."

	*CHALLENGE_D_M13		"13 Celenheim"
	*BRIEFING_D_M13			"Celenheim Castle ||The very Sanctum of Light, Will it stand against the wave of darkness, or will the elven reign finally meet its doom?"
	*STORY_D_M13			"Celenheim ||You must defeat Queen Aylindel and the Assembly of Six."
	*AWARD_GOLD_D_M13		"From Celenheim's treasure, you loot gold!"

	*CHALLENGE_D_C1_1		"Dark Survival Easy"
	*BRIEFING_D_C1_1		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_D_C1_1			"Kill all enemies"
	*AWARD_GOLD_D_C1_1		"For your efforts, you received a handsome reward."

	*CHALLENGE_D_C1_2		"Dark Survival Medium"
	*BRIEFING_D_C1_2		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_D_C1_2			"Kill all enemies"
	*AWARD_GOLD_D_C1_2		"For your efforts, you received a handsome reward."

	*CHALLENGE_D_C1_3		"Dark Survival Hard"
	*BRIEFING_D_C1_3		"Fight the ever stronger enemies and your riches will grow! But beware, a most difficult challenge lies ahead of you!"
	*STORY_D_C1_3			"Kill all enemies"
	*AWARD_GOLD_D_C1_3		"For your efforts, you received a handsome reward."

	*CHALLENGE_D_C2			"Ballista Frenzy"
	*BRIEFING_D_C2			"The crooked town of Highvalley.||Opparg the Ogre wishes to assault an unprotected little town full of wenches:||...and he brought only one companion: you."
	*STORY_D_C2			"Kill as many enemies as you can"

	*CHALLENGE_D_C3_1		"Dark Survival Easy"
	*BRIEFING_D_C3_1		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_D_C3_1			"Kill all enemies"
	*AWARD_GOLD_D_C3_1		"For your efforts, you received a handsome reward."

	*CHALLENGE_D_C3_2		"Dark Survival Medium"
	*BRIEFING_D_C3_2		"It's a matter of survival. How much can you take?"
	*STORY_D_C3_2			"Kill all enemies"
	*AWARD_GOLD_D_C3_2		"For your efforts, you received a handsome reward."

	*CHALLENGE_D_C3_3		"Dark Survival Hard"
	*BRIEFING_D_C3_3		"Fight the ever stronger enemies and your riches will grow! But beware, a most difficult challenge lies ahead of you!"
	*STORY_D_C3_3			"Kill all enemies"
	*AWARD_GOLD_D_C3_3		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C1_1		"Light Survival Easy"
	*BRIEFING_L_C1_1		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_L_C1_1			"Kill all enemies"
	*AWARD_GOLD_L_C1_1		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C1_2		"Light Survival Medium"
	*BRIEFING_L_C1_2		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_L_C1_2			"Kill all enemies"
	*AWARD_GOLD_L_C1_2		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C1_3		"Light Survival Hard"
	*BRIEFING_L_C1_3		"Fight the ever stronger enemies and your riches will grow! But beware, a most difficult challenge lies ahead of you!"
	*STORY_L_C1_3			"Kill all enemies"
	*AWARD_GOLD_L_C1_3		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C2			"Goblin Attack"
	*BRIEFING_L_C2			"Naglagard.||A horde of goblins is moving in on the castle of Naglagard.||Use the cannon to repel the attack and decimate the goblin population."
	*STORY_L_C2			"Kill as many goblins as you can."

	*CHALLENGE_L_C3_1		"Light Survival Easy"
	*BRIEFING_L_C3_1		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_L_C3_1			"Kill all enemies"
	*AWARD_GOLD_L_C3_1		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C3_2		"Light Survival Medium"
	*BRIEFING_L_C3_2		"Fight the ever stronger enemies and your riches will grow! Beat them all, and an even greater challenge will reveal itself!"
	*STORY_L_C3_2			"Kill all enemies"
	*AWARD_GOLD_L_C3_2		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_C3_3		"Light Survival Hard"
	*BRIEFING_L_C3_3		"Fight the ever stronger enemies and your riches will grow! But beware, a most difficult challenge lies ahead of you!"
	*STORY_L_C3_3			"Kill all enemies"
	*AWARD_GOLD_L_C3_3		"For your efforts, you received a handsome reward."

	*CHALLENGE_L_SB1		"Light Introduction"
	*CHALLENGE_L_SB2		"Light Chapter I"
	*CHALLENGE_L_SB3		"Light Chapter II"
	*CHALLENGE_L_SB4		"Light Chapter III"
	*CHALLENGE_L_SB5		"Light Final"
	*CHALLENGE_D_SB1		"Dark Introduction"
	*CHALLENGE_D_SB2		"Dark Chapter I"
	*CHALLENGE_D_SB3		"Dark Chapter II"
	*CHALLENGE_D_SB4		"Dark Chapter III"
	*CHALLENGE_D_SB5		"Dark Final"

	// Registry\Dialogues.xrg
	*REG_DLG_DEFAULT0		"Reinforcements"
	*REG_DLG_ADAM0_T		"Hello!|I am Adam, the first speaking man within the Starbreeze Engine! I was created around May in the year of 2000."
	*REG_DLG_ADAM0_2		"Hello"
	*REG_DLG_ADAM0_1		"Bye"
	*REG_DLG_ADAM1_T		"Happy journey!"
	*REG_DLG_ADAM1_0		"End dialogue"
	*REG_DLG_ADAM2_T		"And a fine day it is too, don't you think?"
	*REG_DLG_ADAM2_3		"Yes"
	*REG_DLG_ADAM2_4		"No, not really"
	*REG_DLG_ADAM3_T		"I am happy you enjoy it. Well, I must carry on with my business. See you soon!"
	*REG_DLG_ADAM3_0		"End dialogue"
	*REG_DLG_ADAM4_T		"I'm sorry to hear that. Well, I must carry on with my business. See you soon!"
	*REG_DLG_ADAM4_0		"End dialogue"


	*REG_LM01_Turitorial1		"Click the left thumbstick to crouch."
	*REG_LM01_Turitorial2		"Click the right thumbstick to jump up to the ladder."
	*REG_LM01_Turitorial3		"Pull left trigger to use the lever."

	*SURFACETYPE_00				"Body (Skin)"
	*SURFACETYPE_01				"Arms (Skin)"
	*SURFACETYPE_02				"Legs (Skin)"
	*SURFACETYPE_03				"Head (Skin)"
	*SURFACETYPE_04				"? (Skin)"
	*SURFACETYPE_10				"Body (Cloth)"
	*SURFACETYPE_11				"Arms (Cloth)"
	*SURFACETYPE_12				"Legs (Cloth)"
	*SURFACETYPE_13				"Head (Cloth)"
	*SURFACETYPE_14				"? (Cloth)"
	*SURFACETYPE_20				"Body (Leather)"
	*SURFACETYPE_21				"Arms (Leather)"
	*SURFACETYPE_22				"Legs (Leather)"
	*SURFACETYPE_23				"Head (Leather)"
	*SURFACETYPE_24				"? (Leather)"
	*SURFACETYPE_30				"Body (Chain)"
	*SURFACETYPE_31				"Arms (Chain)"
	*SURFACETYPE_32				"Legs (Chain)"
	*SURFACETYPE_33				"Head (Chain)"
	*SURFACETYPE_34				"? (Chain)"
	*SURFACETYPE_40				"Body (Plate)"
	*SURFACETYPE_41				"Arms (Plate)"
	*SURFACETYPE_42				"Legs (Plate)"
	*SURFACETYPE_43				"Head (Plate)"
	*SURFACETYPE_44				"? (Plate)"
	*SURFACETYPE_70				"Dagger"
	*SURFACETYPE_71				"Sword"
	*SURFACETYPE_72				"Axe"
	*SURFACETYPE_73				"Hammer"
	*SURFACETYPE_74				"Bow"
	*SURFACETYPE_75				"Crossbow"
	*SURFACETYPE_76				"Staff"
	*SURFACETYPE_77				"Bomb"
	*SURFACETYPE_78				"Potion"
	*SURFACETYPE_80				"Wooden Shield"
	*SURFACETYPE_90				"Metal Shield"
	*SURFACETYPE_100			"?"

	// Targets
	// "TARGET_" + "challenge name" + "_" + unique id
	*TARGET_L_M2_1			"Massive Door"
	*TARGET_L_M2_2			"Weak Door"
	*TARGET_L_M5_1			"Brick"
	*TARGET_L_M5_2			"Trashcan"
	*TARGET_L_M6_1			"Guard Tower"
	*TARGET_L_M6_2			"Stone Trap"
	*TARGET_L_VATAR_1		"Vatars Heart"
	*TARGET_L_VATAR_2		"Magical Shield"
	*TARGET_L_VATAR_3		"Powerfield"

	*TARGET_D_Iellon_1		"North Tower"
	*TARGET_D_Iellon_2		"South Tower"
	*TARGET_D_Iellon_3		"Machinery"
	*TARGET_D_Iellon_4		"Drawbridge"
	*TARGET_D_Iellon_5		"Magic Restraint"
	*TARGET_D_Iellon_6		"East Wing"
	*TARGET_D_Iellon_7		"West Wing"
	*TARGET_D_Iellon_8		"East Tower"
	*TARGET_D_Iellon_9		"West Tower"

	// Checkpoint
	*CHECKPOINT_MSG			"You have lost §p0 gold"
	*CHECKPOINT_MSG2		"Checkpoint activated"
	*CHECKPOINT_MSG3		"Not enough gold to activate checkpoint"

	// Storybook

	*SB_STL01_0			"Scripted within an ancient tome, which lies beneath centuries of dust"
	*SB_STL01_1			"in the guarded library of Meckelon,"
	*SB_STL01_2			"is the story of how the Rift was formed."
	*SB_STL01_3			"Though most cannot recall a time when the Rift did not"
	*SB_STL01_4			"divide the Enclave and the Outlands, "
	*SB_STL01_5			"they were at one time, unified."
	*SB_STL01_6			"At that time, there were lands where the very essence of magic, "
	*SB_STL01_7			"was believed to dwell. For they were lush, and prosperous."
	*SB_STL01_8			"All who did not hold the secrets of the soil, "
	*SB_STL01_9			"which were protected by the Pact of Gi'Furo,"
	*SB_STL01_10			"coveted these lands fiercely."
	*SB_STL01_11			"The great demon Vatar was among these envious creatures, "
	*SB_STL01_12			"for he believed that with the magic of these lands in his grasp,"
	*SB_STL01_13			"he would surely become invincible."
	*SB_STL01_14			"And so, he lead his army to attack the dwellers of the land,"
	*SB_STL01_15			"and lay claim to it for himself! "
	*SB_STL01_16			"The battle raged on and on until at last the mighty wizard,"
	*SB_STL01_17			"Zale, stood alone against Vatar to protect the lands."
	*SB_STL01_18			"When all hope seemed lost and Vatar's victory imminent,"
	*SB_STL01_19			"Zale struck the final, fatal blow."
	*SB_STL01_20			"With a roar of anger and anguish, "
	*SB_STL01_21			"the wizard slammed his staff into the ground."
	*SB_STL01_22			"The world trembled and then parted beneath Vatar's feet."
	*SB_STL01_23			"A scream of outrage erupted from the demon's throat as he fell to his defeat."
	*SB_STL01_24			"However, victory did not come without a price."
	*SB_STL01_25			"The chasm that grew from this powerful blast of magic"
	*SB_STL01_26			"was too vast to be traversed,"
	*SB_STL01_27			"and the people were separated as much as the lands."
	*SB_STL01_28			"Those who had come to aid their brothers in fighting against the demon's army,"
	*SB_STL01_29			"returned to their home,called Meckelon, with stunned minds, and heavy hearts."
	*SB_STL01_30			"The pact of Gi'Furo had been broken,"
	*SB_STL01_31			"and they had become separated from their brothers."
	*SB_STL01_32			"The denizens of the outlands, a dark and selfish people,"
	*SB_STL01_33			"became known as the Dreg'atar"
	*SB_STL01_34			"And the enclave of magic land which had been divided from the rest,"
	*SB_STL01_35			"formed a peaceful city called Celenheim."
	*SB_STL01_36			"In time, all wounds are healed,"
	*SB_STL01_37			"for in the lengthy span since it was torn asunder,"
	*SB_STL01_38			"it seems that the magic inherent within the World"
	*SB_STL01_39			"has begun to knit the land back together."
	*SB_STL01_40			"The Rift grows smaller and can even be crossed in certain locations."
	*SB_STL01_41			"Though it should be a time of celebration and rejoicing, such is not the case."
	*SB_STL01_42			"For despite the passage of time,"
	*SB_STL01_43			"the greedy Dreg'atar still lust after the lands of magic."
	*SB_STL01_44			"Raid after raid has been sent into the enclave, in hopes of weakening it,"
	*SB_STL01_45			"for the major attack they intend to wage as soon as they are able."
	*SB_STL01_46			"Crops burned and possessions stolen,"
	*SB_STL01_47			"Celenhein has been thrown into a state of extreme unrest."
	*SB_STL01_48			"Heavy taxes are levied upon the people to help pay for the city's defense."
	*SB_STL01_49			"This has seen to the uprising of internal rebellions within the enclave."
	*SB_STL01_50			"And some of its inhabitants have landed in jail, along with the true enemy."
	*SB_STL01_51			"And it is here that our story begins."
	*SB_STL01_52			"A few rebellious grains of sand within the ever-turning hourglass of life..."

	*SB_STL02_0			"They had won the battle against the Outland raiders,"
	*SB_STL02_1			"and driven them from Celenheim's soil."
	*SB_STL02_2			"And victory was sweet upon their tongues"
	*SB_STL02_3			"as they set out upon the perilous journey before them."
	*SB_STL02_4			"This was their chance to redeem themselves and aid their people."
	*SB_STL02_5			"But so many things were unknown, unexplained."
	*SB_STL02_6			"Who were these Ancestors that Marcus spoke of?"
	*SB_STL02_7			"Why had Queen Aylindel not sent for them before now?"
	*SB_STL02_8			"Without time to confer with the Queen, they began."
	*SB_STL02_9			"They would have to cross the vast expanse of the dreaded Outlands"
	*SB_STL02_10			"and find these mysterious people who might be able to help."
	*SB_STL02_11			"Yet, not even Marcus seemed certain that the Ancestors still existed,"
	*SB_STL02_12			"or how they would receive visitors if they did."
	*SB_STL02_13			"As the sun descended, they came to the Divided City."
	*SB_STL02_14			"Once magnificent and proud, the Rift had reduced it to"
	*SB_STL02_15			"nothing more than crumbled buildings and jagged rooftops."
	*SB_STL02_16			"Now, as one of the only places where it is possible to cross the Rift,"
	*SB_STL02_17			"dark and twisted shapes await those who wish to traverse it."

	*SB_STL03_0			"Though the Ancestors acclaimed them as heroes after showing such"
	*SB_STL03_1			"valour and bravery in the defence against the Outland invasion,"
	*SB_STL03_2			"something seemed oddly amiss."
	*SB_STL03_3			"The Ancestors had been estranged from their brothers in Celenheim"
	*SB_STL03_4			"longer than anyone could remember, yet very little negotiation"
	*SB_STL03_5			"was needed for them to accept the perilous request"
	*SB_STL03_6			"to send aid against the hordes of Dreg'atar."
	*SB_STL03_7			"The eager offer to assist their brothers came at only one request."
	*SB_STL03_8			"Destroy the Fortress of Kam-Zara."
	*SB_STL03_9			"The Pact of Gi'furo forbid such destruction, but the Ancestors explained"
	*SB_STL03_10			"that it was their only hope of reaching the battle in time."
	*SB_STL03_11			"For the pass of Kam-zara, held tightly by the enemy,"
	*SB_STL03_12			"was the only obstacle in the fastest route to Celenheim."
	*SB_STL03_13			"Being a narrow path, Kam-Zara was easily defended."
	*SB_STL03_14			"It allowed very few men to keep an entire army at bay if need be,"
	*SB_STL03_15			"and it would be far too difficult if it were not destroyed."
	*SB_STL03_16			"Desperate times called for desperate measures."
	*SB_STL03_17			"The legendary High Wizard Zale was their last hope."
	*SB_STL03_18			"Known as the scourge of Vatar, the bane of Zurana,"
	*SB_STL03_19			"the man who severed the world, Zale must be found."
	*SB_STL03_20			"But if he still lived, and they were able to find him,"
	*SB_STL03_21			"would he help them? And what cost would"
	*SB_STL03_22			"the world pay this time for its salvation from evil?"

	*SB_STL04_0			"The smoke rose high into the sky"
	*SB_STL04_1			"blotting out the sun with its ink-like message."
	*SB_STL04_2			"Kam-Zara's fortress was no more."
	*SB_STL04_3			"This signal could be seen for miles, it would alert the Ancestors"
	*SB_STL04_4			"and the Outlanders alike."
	*SB_STL04_5			"Wearily they began to make their way back toward Celenheim."
	*SB_STL04_6			"Tension was high, for they knew they had helped in"
	*SB_STL04_7			"breaking the great Pact of Gi'furo once more."
	*SB_STL04_8			"And they had not had a chance to speak to the Queen "
	*SB_STL04_9			"before they departed on this journey."
	*SB_STL04_10			"Would they be hailed as heroes for bringing aid?"
	*SB_STL04_11			"Or would they be sent to the gallows for their horrific deed?"
	*SB_STL04_12			"Rumours of Mordessa's vast armies turned out to be quite accurate"
	*SB_STL04_13			"Day and night, the travelers were forced to hide among rocks and crevices"
	*SB_STL04_14			"while troop after troop of nightmarish creatures would pass them by."
	*SB_STL04_15			"The massive, twisted beasts and demons"
	*SB_STL04_16			"were a clear sign that the Underworld itself was massing for battle."
	*SB_STL04_17			"The ancient name of the mighty demon Vatar"
	*SB_STL04_18			"was often heard uttered among them reverently."
	*SB_STL04_19			"The travelers knew there was very little time left indeed"
	*SB_STL04_20			"At last, Castle Celenheim was in view."
	*SB_STL04_21			"But they would soon face their greatest challenge yet."

	*SB_STL05_0			"The battle had begun"
	*SB_STL05_1			"Vastly outnumbered, the armies of Celenheim were constantly"
	*SB_STL05_2			"in retreat towards the castle itself."
	*SB_STL05_3			"Vatar's hordes crossed the rift, smashed through"
	*SB_STL05_4			"the defenses and pursued them. It seemed hopeless."
	*SB_STL05_5			"But the death of the ancient demon came as a miracle."
	*SB_STL05_6			"Echoing through the mountains, and out over the fields,"
	*SB_STL05_7			"the sound of his final agony reached the ears of "
	*SB_STL05_8			"Enclavers and Outlanders alike."
	*SB_STL05_9			"The Outlanders froze in their tracks, eyes widened in horror."
	*SB_STL05_10			"It could not be. Vatar was undefeatable!"
	*SB_STL05_11			"Only moments later, the first of the Meckelon troops arrived,"
	*SB_STL05_12			"in a cloud of dust and banners over the horizon."
	*SB_STL05_13			"Mercilessly, they smashed into the confused Dreg'atar horde."
	*SB_STL05_14			"With a new boost of morale, "
	*SB_STL05_15			"the soldiers of Celenheim cried out their allegiance"
	*SB_STL05_16			"to their queen, and valiantly took up arms once more."
	*SB_STL05_17			"Without their leader, and surrounded, Vatar's horde"
	*SB_STL05_18			"was quickly diminished and soon, annihilated."
	*SB_STL05_19			"History would not be allowed to repeat itself."
	*SB_STL05_20			"As the chaos of battle gradually faded into silence,"
	*SB_STL05_21			"the small party of adventurers returned to Celenheim,"
	*SB_STL05_22			"soon to be celebrated as heroes."
	*SB_STL05_23			"As Queen Aylindel, Princess Jasindra and the Assembly of Six"
	*SB_STL05_24			"were praising them for their valiant efforts, "
	*SB_STL05_25			"Alecto of Meckelon stepped into the chamber, unannounced."
	*SB_STL05_26			"Boldly, he asserted his authority as the savior of the Enclave."
	*SB_STL05_27			"Angered by such arrogance, the Queen and her council"
	*SB_STL05_28			"were quick to voice their protests,"
	*SB_STL05_29			"and soon, they seemed to be on the brink of a new war."
