//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_german
{
		*MENU_CONTENTLOADFAILED		"'§p0' laden nicht möglich."
	*GAME_CAMP_MISSIONLOC			"Ort: §p0"
	*GAME_CAMP_MISSIONNAME			"Name: §p0"
	*GAME_CAMP_NOPOOLGOLD 			"Es wurde kein weiteres Gold hinzugefügt."
	*GAME_CAMP_DIED 			"Du bist gestorben"
	*GAME_CAMP_FLED 			"Du bist geflohen."
	*GAME_CAMP_QUIT 			"Du gibst auf."
	*GAME_CAMP_UNLOCKDARK			"Durch den Sieg über Vatar wurde die Kampagne der Finsternis freigeschaltet! Sie kann nun unter dem Menüpunkt Neues Spiel ausgewählt werden.  |Jetzt kann die Geschichte aus der Perspektive der Dreg'atar erlebt werden. Doch diesmal wird es nicht so einfach werden."
	*GAME_CAMP_UNLOCKDARK2			"Die Kampagne der Finsternis wurde freigeschaltet! Sie kann nun unter dem Menüpunkt Neues Spiel ausgewählt werden."
	*GAME_CAMP_UNLOCKDARK3			"Direktzugang: imevil||Schaltet jederzeit die Dark-Kampagne im Kampagnen-Auswahlbildschirm frei!"
	*GAME_CAMP_MARCUSDEAD			"Marcus wurde getötet."
	*GAME_CAMP_ZALEDEAD			"Zale wurde getötet."
	*GAME_CAMP_IELLONDEAD1			"Dein Begleiter wurde getötet."
	*GAME_CAMP_IELLONDEAD2			"Deine Begleiter wurden getötet."
	*GAME_CAMP_FRENZY			"§p0 Feinde besiegt"
	*GAME_CAMP_FRENZY_S			"§p0 Feind besiegt"
	*GAME_CAMP_SV_ROUNDEND1_S		"aber du hast §p0 Feind überlebt."
	*GAME_CAMP_FLEEZONE			"Verlassen der Mission in §p0 Sekunden."

	// Locations
	*LOCATION_IELLON			"Die Verliese von Iellon"
	*LOCATION_IELLON2			"Der Vorposten von Iellon"
	*LOCATION_CELADIA			"Das Dorf Celadia"
	*LOCATION_DESERTEDTEMPLE		"Der Verlassene Tempel"
	*LOCATION_DIVIDEDCITY			"Die Geteilte Stadt"
	*LOCATION_WASTES			"In den Outlands"
	*LOCATION_ARKAMAR			"Der Hafen von Ark Amar"
	*LOCATION_ANCESTORS			"Meckelon"
	*LOCATION_SANCTUARY			"Das Heiligtum"
	*LOCATION_UNDERWORLD			"Die Unterwelt"
	*LOCATION_UNDERWORLD2			"Die Unterwelt II"
	*LOCATION_KAMZARA			"Der Pass von Kam-Zara"
	*LOCATION_ARKMOOR			"Ark Moor"
	*LOCATION_VATAR				"Vatar"

	*LOCATION_ZURANA			"Zuranas Unterschlupf"
	*LOCATION_MANSION			"Das Haus der Träume"
	*LOCATION_GUARDIAN			"Der Wächter"
	*LOCATION_MANSION2			"Das Haus der Träume II"
	*LOCATION_WILDERNESS			"Aylewoods"
	*LOCATION_WILDERNESS2			"Die Wildnis II"
	*LOCATION_GREATWALL			"Die Grosse Mauer"
	*LOCATION_MINES				"Die Minen von Ungard"
	*LOCATION_URANNON			"Die Insel Ur Annon"
	*LOCATION_CELENHEIM			"Burg Celenheim"

	*LOCATION_FORBIDDENATGARD		"Verbotenes Atgard"
	*LOCATION_NAGLAGARD			"Naglagard"
	*LOCATION_TOLVFORS			"Tolvfors"
	*LOCATION_HIGHVALLEY			"Hochtal"
	*LOCATION_HAGASTROM			"Hagastrom"
	*LOCATION_LEXE				"Lexe"

	// Challenges
	*CHALLENGE_L_M1			"1 Im Kerker"
	*BRIEFING_L_M1			"Iellon Kerker ||Du hast versucht, die Bewohner deines Dorfes vor Steuereintreibern zu beschützen. Für dieses rebellische Verbrechen gegen Celenheim wurdest du ins Gefängnis geworfen. Gerade erwachst du aus deiner Bewusstlosigkeit..."
	*STORY_L_M1			"Gefangen.||Du musst einen Weg aus der Zelle heraus finden.|Bringe eine Waffe in deinen Besitz.|Besiege die Feinde.|Flüchte aus dem Kerker."
	*AWARD_GOLD_L_M1		"In den Ruinen des Kerkers hast du eine beträchtliche Summe Gold gefunden."

	*CHALLENGE_L_M2			"2 Rette den Vorposten"
	*BRIEFING_L_M2			"Iellon Vorposten   |An der Oberfläche angekommen, begegnet dir eine Bedrohung, die noch grösser ist, als die Gefangennahme. Der Vorposten wird angegriffen. Kämpfe Seite an Seite mit deinen Brüdern aus Celenheim, um die Eindringlinge abzuwehren."
	*STORY_L_M2			"Rette den Vorposten   |Besiege die Dreg'atar.|Vernichte den feindlichen Hauptmann."
	*AWARD_GOLD_L_M2		"Für deine mutige Rettung des Vorpostens erhältst du eine stattliche Belohnung."


	*CHALLENGE_L_M2_DEMO		"2 Protect the Outpost"
	*BRIEFING_L_M2_DEMO		"Iellon Outpost||After fighting your way up to the surface, you face a threat far worse than imprisonment. The Outpost is under attack, and you are rallied to fight side by side with your captors against the invaders."
	*STORY_L_M2_DEMO		"Protect the Outpost||Defeat the outlanders.  |Defeat Bor'je."
	*AWARD_GOLD_L_M2_DEMO		"For your bravery in saving the Outpost, you received a handsome reward."


	*CHALLENGE_L_M3			"3 Eskortiere Marcus"
	*BRIEFING_L_M3			"Das Dorf Celadia  |Auf Königin Aylindels Befehl wurdest du nach Celadia ge-  schickt, um dem Händler Marcus beizustehen. Dreg'- atar haben seine Karawane geplündert, seine Schätze und sein Geschäftsbuch gestohlen. Eskor-  tiere ihn durch das Dorf."
	*STORY_L_M3			"Begleite Marcus  |Finde das Geschäftbuch.|Finde den Schlüssel zum Stadttor. |Begleite Marcus zum Stadttor. |Marcus muss überleben."
	*AWARD_GOLD_L_M3		"Für das Beschützen des Händlers Marcus wirst du von Aylindel belohnt."

	*CHALLENGE_L_M4			"4 Verlassener Tempel"
	*BRIEFING_L_M4			"Ein lange vergessener Tempel |Marcus hatte recht. Die Banditen der Dreg'atar haben sich mit seinem Schatz im alten Tempel in der Nähe des Dorfes verschanzt. Du musst einen Weg finden, in den Tempel zu gelangen und den Schatz zurückzu- holen."
	*STORY_L_M4			"Der verlassene Tempel.||Finde den Schatz von Marcus, dem Händler.||Marcus muss überleben.|"
	*AWARD_GOLD_L_M4		"Für die Wiederbeschaffung seines Schatzes wirst du von Marcus reich beschenkt."

	*CHALLENGE_L_M5			"5 Die Geteilte Stadt"
	*BRIEFING_L_M5			"Die Geteilte Stadt |Mu-Azzam war einst eine blühende Stadt. Nunmehr ist sie bloss der Schatten ihres früheren Glanzes. Als die Kluft die Welt teilte, wurde Mu-Azzam von ihr zerrissen. Verlassen und vergessen, befindet sie sich nun in den Händen der Dreg'atar."
	*STORY_L_M5			"Die Geteilte Stadt. |Überquere die Kluft.||Gelange zum Stadttor auf der anderen Seite."
	*AWARD_GOLD_L_M5		"Bei der Durchquerung der Geteilten Stadt hast du etwas Diebesgut gefunden."

	*CHALLENGE_L_M6			"6 In den Outlands"
	*BRIEFING_L_M6			"In den Outlands  |Feuer, Qualm und Asche steigen in den Himmel hinauf. Die Dreg'atar haben ihre Streitkräfte zusammengezogen, und es scheint unmöglich, sie unbemerkt passieren zu können. Eine riesige Bestie, ein Wächter, soll unter ihnen sein..."
	*STORY_L_M6			"In den Outlands. |Du musst einen Weg durch die schwer bewachten Befestigungen der Dreg'atar finden und dich in das Herz der Outlands durchkämpfen."
	*AWARD_GOLD_L_M6		"Nachdem du Durzu bezwungen hast, nimmst du seinen Schatz an dich."

	*CHALLENGE_L_M7			"7 Ark Amar"
	*BRIEFING_L_M7			"Der Hafen von Ark Amar ||Die Stadt ist die letzte Grenze vor Meckelon, dem Land der Ahnen.|Es scheint fast unmöglich, jemanden zu finden, der dich dorthin bringt. Doch dann begegnest du Kapitän Lorus, Marcus' ungeliebtem Bruder."
	*STORY_L_M7			"Ark Amar.||Finde Lorus' Geschäftsbuch.|Bringe Lorus das Geschäftsbuch."
	*AWARD_GOLD_L_M7		"Für deine Hilfe beim Auffinden des Geschäftsbuchs erhältst du von Lorus eine grosszügige Belohnung."

	*CHALLENGE_L_M8			"8 Die Ahnen"
	*BRIEFING_L_M8			"Meckelon||Die Reise über den Ozean war lang und ermüdend. Sie schien niemals enden zu wollen. Jetzt stehst du an der Küste, die Türme der Stadt Meckelon liegen vor dir. Alles scheint sehr ruhig zu sein, als würdest du schon ewartet..."
	*STORY_L_M8			"Die Ahnen.   |Beweise dich in der Arena.||Finde Alecto.|Bekämpfe die Eindringlinge aus den Outlands.|Betanke das Luftschiff und fahre damit los."
	*AWARD_GOLD_L_M8		"Für deinen Sieg über die Dreg'atar wirst du von Alecto reich belohnt."

	*CHALLENGE_L_M9			"9 Das Heiligtum"
	*BRIEFING_L_M9			"Die Seen des Nordens |Die Strukturen, die aus der stillen Oberfläche des Sees ragen, suchen ihresgleichen... Fremd anmutende, rostige Gebilde, die aus einer Zeit noch vor der Entstehung der Kluft stammen."
	*STORY_L_M9			"Das Heiligtum.||Du musst einen Weg in die Gebäude im See finden.||Finde den Hohen Zauberer Zale. |Zale muss überleben."
	*AWARD_GOLD_L_M9		"Für seine Rettung unterstützt dich Zale mit etwas Gold für dein nächstes Abenteuer."

	*CHALLENGE_L_M10		"10 Die Unterwelt"
	*BRIEFING_L_M10			"Die Unterwelt||Das Dröhnen schmelzender Felsen und die Gluthitze vom Feuer der Erde umgeben dich, intensiver werdend, mit jedem Schritt weiter in die Tiefe. Seltsame Gebilde und Maschinen stützen die Felsen."
	*STORY_L_M10			"Die Unterwelt.||Du musst in die Unterwelt vordringen, um den Stab der Erdgeister zu finden."
	*AWARD_GOLD_L_M10		"Unter den verrottenden Knochen besiegter Feinde hast du etwas Diebesgut gefunden."

	*CHALLENGE_L_M11		"11 Zurana"
	*BRIEFING_L_M11			"Zuranas Höhle ||Als du in einen noch tieferen Tunnel vordringst, beginnt die Erde zu beben und zu zittern. Selbst die Brut der Unterwelt wagt sich nicht bis hierher vor. Ist dies der Ort, an dem der Stab der Erdgeister sein könnte?"
	*STORY_L_M11			"Zurana.||Du musst Zurana besiegen und den Stab der Erdgeister in deine Obhut bringen."
	*AWARD_GOLD_L_M11		"Im Hort der Dämonin Zurana findest du etwas Beute."

	*CHALLENGE_L_M12		"12 Kam-Zara"
	*BRIEFING_L_M12			"Die Festung ||Der Stab der Erdgeister ist in Zales Besitz. Die Zeit ist da, um den letzten Schlag gegen die von den Dreg'atar gehaltene Festung zu führen. Den Ahnen wird dadurch der Weg durch die Outlands geebnet, um Celenheim zu helfen."
	*STORY_L_M12			"Kam-Zara||Du musst dem Hohen Zauberer Zale helfen, die magische Barriere zu durchbrechen, die Kam-Zaras Innerstes schützt.|Finde die drei Schlüssel."
	*AWARD_GOLD_L_M12		"In den Trümmern Kam-Zaras findest du etwas Gold."

	*CHALLENGE_L_M13		"13 Jasindra"
	*BRIEFING_L_M13			"Die Zitadelle ||Ark Moor ist der Hohe Sitz von Mor- dessa, der finsteren Anführerin der Dreg'atar. Prinzessin Jasindra, Celenheims einzige Erbin, soll in einem Ritual zur Beschwörung des grossen Dämonen- königs Vatar geopfert werden."
	*STORY_L_M13			"Jasindra.||Du musst in die Zitadelle von Ark Moor eindringen und die Hohe Rätin Mordessa davon abhalten, Jasindra zu opfern. Das Ritual darf nicht vollzogen werden.   |Mordessa muss besiegt werden."
	*AWARD_GOLD_L_M13		"Bei Mordessas Leichnam findest du etwas Beute."

	*CHALLENGE_L_M14		"14 Vatar"
	*BRIEFING_L_M14			"Das Herz der Finsternis ||Du hast das Ritual verhindert und Jasindra gerettet. Jedoch ist Vatar von den Fesseln befreit, mit denen Mordessa ihn kontrollieren wollte. Wenn er jetzt nicht ver- nichtet wird, dann wird er nicht mehr aufzuhalten sein!"
	*STORY_L_M14			"Vatar.||Vatar muss besiegt werden."
	*AWARD_GOLD_L_M14		"Du hast den Dämon besiegt und in den Abgrund zurück geschleudert."

	*CHALLENGE_D_M1			"1 Zuranas Kristall"
	*BRIEFING_D_M1			"Zuranas Anwesen  |Zurana war einst eine ehrgeizige Zauberin. Bei dem Versuch, Besitz von einem Dämonen zu ergreifen, verwandelte sie sich in diesen. Ihr altes Haus ist nun verlassen, aber eine Zauberin lässt kostbare Dinge selten ungeschützt zurück..."
	*STORY_D_M1			"Zuranas Kristall. |Gehe in das verlassene Haus und finde den Kristall von Evresi.||Kehre anschliessend zum Hof und zu Mordessas Portal zurück."
	*AWARD_GOLD_D_M1		"Für das Stehlen des Kristalls belohnt Mordessa dich grosszügig."

	*CHALLENGE_D_M2			"2 Beseitige Marcus"
	*BRIEFING_D_M2			"Das Dorf Celadia ||Der Händler Marcus ist für Celenheims Wirtschaft von grösster Bedeutung. Sein Tod würde Königin Aylindel und dem Rat der Sechs Kummer und Sorgen bereiten. Du wurdest hierher geschickt, um dich der Sache anzunehmen..."
	*STORY_D_M2			"Beseitige Marcus.   |Du musst Marcus aufspüren und überfallen, bevor er die andere Seite des Dorfes erreicht. |Marcus darf nicht überleben. ||Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M2		"Für die Beseitigung Marcus' entlohnt Mordessa dich grossmütig."


	*CHALLENGE_D_M2_DEMO		"2 Kill Marcus"
	*BRIEFING_D_M2_DEMO		"Celadia Village  |Merchant Marcus is important for Celenheim's economy. His death would cause Celenheim's queen Aylindel and her Assembly of Six both confusion and grief. You are sent here to ensure this is taken care of."
	*STORY_D_M2_DEMO		"Kill Marcus ||You must find Merchant Marcus and assassinate him. |Marcus must not survive.||Return to Mordessa through the portal."
	*AWARD_GOLD_D_M2_DEMO		"For killing Marcus, Mordessa has rewarded you handsomely."


	*CHALLENGE_D_M3			"3 Widerstand"
	*BRIEFING_D_M3			"Ark Moor ||Die Ahnen, weit von der Enklave entfernt beheimatet, haben einen wagemutigen Überraschungsangriff auf das Herz der Dreg'atar gestartet: Ark Moor. Du wurdest sofort dorthin geschickt, um bei der Verteidigung der Zitadelle zu helfen."
	*STORY_D_M3			"Überraschungsangriff.   |Verteidige Ark Moor gegen den bevorstehenden Angriff.||Besiege Alecto."
	*AWARD_GOLD_D_M3		"Für die Rettung Ark Moors wirst du von Mordessa reich belohnt."

	*CHALLENGE_D_M4			"4 Das Haus der Träume"
	*BRIEFING_D_M4			"Das alte Haus ||Bis heute weiss niemand genau, wer es überhaupt erbaut hat. Alte Tagebücher besagen, dass der Hohe Zauberer Zale das Buch der Seelen hier versteckt hält. Niemand soll es jemals wieder benutzen, nachdem es Zuranas Schicksal besiegelte."
	*STORY_D_M4			"Haus der Träume.   |Betrete das Haus der Träume und finde das Buch der Seelen.   |Nimm dich vor den Fallen in Acht!"
	*AWARD_GOLD_D_M4		"Unter einer kleinen Falltür findest du etwas Gold."

	*CHALLENGE_D_M5			"5 Der Wächter"
	*BRIEFING_D_M5			"Verdrehte Wirklichkeit   |Das in der Luft tanzende Buch der Seelen war lediglich eine Illusion! Zeit und Raum verloren ihre Bedeutung, alles schien wie ein ver- schwommener Traum... und wie aus dem nichts befindest du dich plötzlich an einem äusserst seltsamen Ort..."
	*STORY_D_M5			"Der Wächter.||Du musst den Wächter besiegen und das Buch der Seelen finden."
	*AWARD_GOLD_D_M5		"Im Hort des Drachen findest du Gold!."

	*CHALLENGE_D_M6			"6 Die Flucht"
	*BRIEFING_D_M6			"Die Flucht ||Nachdem du die Bestie besiegt hast, hältst du das Buch der Seelen endlich in deinen Händen. Aber wenn Zale es hier versteckt und einen Wächter aufgestellt hat, würde er dann nicht bemerken, dass es gestohlen worden ist?"
	*STORY_D_M6			"Die Flucht.||Finde den Weg aus dem Haus heraus.   |Zale muss besiegt werden. ||Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M6		"In einer morschen Truhe findest du Gold!"

	*CHALLENGE_D_M7			"7 Das Plateau"
	*BRIEFING_D_M7			"Aylewoods ||Mordessas Portal hat dich direkt ins Herz der Enklave von Celenheim befördert. Ein guter Ausgangspunkt für die Suche nach Prinzessin Jasindra. Es ist sehr wahrscheinlich, dass sie sich hier irgendwo aufhält."
	*STORY_D_M7			"Das Plateau.||Du musst dich durch Celenheims Verteidi- gung kämpfen und das erste Portal erreichen."
	*AWARD_GOLD_D_M7		"In der Nähe des Portals hast du etwas Gold gefunden!"

	*CHALLENGE_D_M8			"8 Entführe Jasindra"
	*BRIEFING_D_M8			"Jasindra ||Da die Prinzessin nicht in der Nähe des Portals zu finden war, siehst du dich gezwungen, weiter ins Territorium der Enklave vorzudringen. Aber jetzt sind alle vor dir gewarnt!"
	*STORY_D_M8			"Nimm Jasindra gefangen. ||Du musst Prinzessin Jasindra finden und gefangen nehmen.   |Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M8		"Jasindra hatte viel Gold bei sich. Es gehört nun dir."

	*CHALLENGE_D_M9			"9 Der Vorposten"
	*BRIEFING_D_M9			"Iellon Vorposten ||Ein prächtiger Tag für eine Schlacht! Das erste Bollwerk der Enklave steht vor seinem Untergang. Die Festung von Iellon befindet sich in der Nähe einer schmalen Stelle der Kluft und ist zwischen den Felsen eingezwängt."
	*STORY_D_M9			"Belagerung des Vorpostens.||Du musst die Tore des Vorpostens durchbrechen und die Fahne der Dreg'atar auf dem Turm hissen.|Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M9		"Beim Plündern der Festung hast du Gold gefunden!"

	*CHALLENGE_D_M10		"10 Die Grosse Mauer"
	*BRIEFING_D_M10			"Die Grosse Mauer ||Die Geteilte Stadt war schon immer ein Ort, an dem die Kluft überquert werden konnte. Die Bewohner von Celen- heim bauten eine lange, mächtige Mauer, die das ganze Gebiet auf ihrer Seite durchzog. Sie wurde errichtet, um auch den mächtigsten Angreifern zu wider- stehen."
	*STORY_D_M10			"Die Grosse Mauer.   |Du musst die Verteidigung zerschlagen und einen Weg in die Festung finden.   |Lösche Ehrick, den Befehlshaber, aus.   |Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M10		"Der Statthalter trug viel Gold bei sich. Nun ist es dein!"

	*CHALLENGE_D_M11		"11 Ungard"
	*BRIEFING_D_M11			"Die alten Minen ||Du dringst tief in die verlassenen Minen vor und hoffst die Brücke noch vor dem Eintreffen von Celenheims Soldaten zu erreichen. Unter Umständen plant der Enklaven-Abschaum einen Gegenangriff."
	*STORY_D_M11			"Die Minen von Ungard.   |Finde die Brücke.   |Wehre die Soldaten der Enklave ab.|Kehre durch das Portal zu Mordessa zurück."
	*AWARD_GOLD_D_M11		"Unter den Haufen von Erz findest du etwas Gold!"

	**CHALLENGE_D_M12		"12 Mordessa"
	*BRIEFING_D_M12			"Die Insel Ur-Annon ||Ein gut geschütztes Versteck im Ozean der Tränen. Dies ist der Ort, an dem Mordessa wahrscheinlich zu finden ist, wenn sie nicht in der Zitadelle von Ark Moor residiert.   |Wird sie dort sein? Und wird sie deinen Verrat bemerken?"
	*STORY_D_M12			"Mordessa.||Mordessa muss besiegt werden.   |Kehre durch das Portal zu Seiner Glorreichen Eminenz Vatar zurück."
	*AWARD_GOLD_D_M12		"Zwischen Mordessas Überresten findest du eine stattliche Menge Gold."

	*CHALLENGE_D_M13		"13 Celenheim"
	*BRIEFING_D_M13			"Burg Celenheim ||Das Heiligtum des Lichts! ||Wird es der Flut der Finsternis standhalten, oder wird das Elfen- reich endlich sein Ende finden? Dein Auftrag ist es, die Elfenkönigin Aylindel und den Rat der Sechs zu besiegen."
	*STORY_D_M13			"Celenheim.||Du musst Königin Aylindel besiegen.   |Der Rat der Sechs wird versuchen seine Königin zu be- schützen. ||Er muss auch vernichtet werden."
	*AWARD_GOLD_D_M13		"Du hast die Elfen Celenheims besiegt!"

	*CHALLENGE_D_C1_1		"Gegen das Licht 1"
	*BRIEFING_D_C1_1		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_D_C1_1			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C1_1		"Die Plünderung deiner besiegten Gegner bringt dir etwas Gold ein."

	*CHALLENGE_D_C1_2		"Gegen das Licht 2"
	*BRIEFING_D_C1_2		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_D_C1_2			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C1_2		"Für deine Bemühungen erhältst du eine stattliche Belohnung."

	*CHALLENGE_D_C1_3		"Gegen das Licht 3"
	*BRIEFING_D_C1_3		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Aber gib Acht, eine äusserst schwierige Herausforderung liegt vor dir!"
	*STORY_D_C1_3			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C1_3		"Für dein Geschick im Kampf wirst du reich entlohnt."

	*CHALLENGE_D_C2			"Ballista Bombardement"
	*BRIEFING_D_C2			"Die Ruinenstadt von Hochtal ||Opparg der Oger will eine kleine, unbe- festigte Stadt angreifen...||Und er benötigt dafür nur einen Verbündeten: dich!"
	*STORY_D_C2			"Vernichte so viele Gegner wie möglich!"

	*CHALLENGE_D_C3_1		"Gegen das Licht 1"
	*BRIEFING_D_C3_1		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_D_C3_1			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C3_1		"Dem Überlebenden steht eine Belohnung zu."

	*CHALLENGE_D_C3_2		"Gegen das Licht 2"
	*BRIEFING_D_C3_2		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_D_C3_2			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C3_2		"Für deine Bemühungen erhältst du eine beachtliche Belohnung."

	*CHALLENGE_D_C3_3		"Gegen das Licht 3"
	*BRIEFING_D_C3_3		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Aber gib Acht, eine äusserst schwierige Herausforderung liegt vor dir!"
	*STORY_D_C3_3			"Vernichte alle Feinde!"
	*AWARD_GOLD_D_C3_3		"Für dein Geschick im Kampf wirst du reich entlohnt"

	*CHALLENGE_L_C1_1		"Gegen die Finsternis 1"
	*BRIEFING_L_C1_1		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_L_C1_1			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C1_1		"Die Plünderung deiner Gegner bringt dir eine angemessene Summe Gold ein."

	*CHALLENGE_L_C1_2		"Gegen die Finsternis 2"
	*BRIEFING_L_C1_2		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_L_C1_2			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C1_2		"Für deine Bemühungen erhältst du eine stattliche Belohnung."

	*CHALLENGE_L_C1_3		"Gegen die Finsternis 3"
	*BRIEFING_L_C1_3		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Aber gib Acht, eine äusserst schwierige Herausforderung liegt vor dir!"
	*STORY_L_C1_3			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C1_3		"Dem Überlebenden steht eine angemessen Belohnung zu."

	*CHALLENGE_L_C2			"Sturmangriff"
	*BRIEFING_L_C2			"Naglagard. ||Eine Horde Goblins nähert sich der Burg von Naglagard.  |Benutze die Kanone, um den Angriff abzuwehren und die Truppen der Goblins zu dezimieren."
	*STORY_L_C2			"Vernichte so viele Goblins wie möglich!"

	*CHALLENGE_L_C3_1		"Gegen die Finsternis 1"
	*BRIEFING_L_C3_1		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_L_C3_1			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C3_1		"Für deine Bemühungen erhältst du eine stattliche Belohnung."

	*CHALLENGE_L_C3_2		"Gegen die Finsternis 2"
	*BRIEFING_L_C3_2		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Besiege sie alle, und eine noch grössere Herausforderung wird auf dich warten!"
	*STORY_L_C3_2			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C3_2		"Die Plünderung der besiegten Gegner bringt dir eine ansehnliche Summe Gold ein."

	*CHALLENGE_L_C3_3		"Gegen die Finsternis 3"
	*BRIEFING_L_C3_3		"Bekämpfe die ständig stärker werdenden Feinde und deine Reichtümer werden sich mehren! ||Aber gib Acht, eine äusserst schwierige Herausforderung liegt vor dir!"
	*STORY_L_C3_3			"Vernichte alle Feinde!"
	*AWARD_GOLD_L_C3_3		"Für deine ruhmreichen Taten wirst du fürstlich belohnt."

	*CHALLENGE_L_SB1		"Licht, Einleitung"
	*CHALLENGE_L_SB2		"Licht, Kapitel I"
	*CHALLENGE_L_SB3		"Licht, Kapitel II"
	*CHALLENGE_L_SB4		"Licht, Kapitel III"
	*CHALLENGE_L_SB5		"Licht, Finale"
	*CHALLENGE_D_SB1		"Finsternis, Einleitung"
	*CHALLENGE_D_SB2		"Finsternis, Kapitel I"
	*CHALLENGE_D_SB3		"Finsternis, Kapitel II"
	*CHALLENGE_D_SB4		"Finsternis, Kapitel III"
	*CHALLENGE_D_SB5		"Finsternis, Finale"

	// Registry\Dialogues.xrg
	*REG_DLG_DEFAULT0		"Verstärkung"
	*REG_DLG_ADAM0_T		"Hallo!|Ich bin Adam, der erste sprechende Mann in der Starbreeze Engine! Ich wurde etwa im Mai des Jahres 2000 erschaffen."
	*REG_DLG_ADAM0_2		"Hallo"
	*REG_DLG_ADAM0_1		"Tschüss"
	*REG_DLG_ADAM1_T		"Gute Reise!"
	*REG_DLG_ADAM1_0		"Dialog beenden"
	*REG_DLG_ADAM2_T		"Ein schöner Tag heute, findest du nicht?"
	*REG_DLG_ADAM2_3		"Ja"
	*REG_DLG_ADAM2_4		"Nein, nicht wirklich."
	*REG_DLG_ADAM3_T		"Freut mich, dass du ihn geniesst. Nun, ich muss mich um meine Geschäfte kümmern. Bis bald!"
	*REG_DLG_ADAM3_0		"Dialog beenden"
	*REG_DLG_ADAM4_T		"Tut mir leid, dass er dir nicht gefällt. Nun, ich muss mich um meine Geschäfte kümmern. Bis bald!"
	*REG_DLG_ADAM4_0		"Dialog beenden"


	*REG_LM01_Turitorial1		"Klicke den 'Ministick links', um dich zu ducken."
	*REG_LM01_Turitorial2		"Klicke den 'Ministick rechts', um an die Leiter zu springen."
	*REG_LM01_Turitorial3		"Drücke den 'Schalter links', um den Hebel zu benutzen."

	*SURFACETYPE_00				"Körper (Haut)"
	*SURFACETYPE_01				"Arme (Haut)"
	*SURFACETYPE_02				"Beine (Haut)"
	*SURFACETYPE_03				"Kopf (Haut)"
	*SURFACETYPE_04				"? (Haut)"
	*SURFACETYPE_10				"Körper (Stoff)"
	*SURFACETYPE_11				"Arme (Stoff)"
	*SURFACETYPE_12				"Beine (Stoff)"
	*SURFACETYPE_13				"Kopf (Stoff)"
	*SURFACETYPE_14				"? (Stoff)"
	*SURFACETYPE_20				"Körper (Leder)"
	*SURFACETYPE_21				"Arme (Leder)"
	*SURFACETYPE_22				"Beine (Leder)"
	*SURFACETYPE_23				"Kopf (Leder)"
	*SURFACETYPE_24				"? (Leder)"
	*SURFACETYPE_30				"Körper (Kette)"
	*SURFACETYPE_31				"Arme (Kette)"
	*SURFACETYPE_32				"Beine (Kette)"
	*SURFACETYPE_33				"Kopf (Kette)"
